Wall time,Step,Value
1670458488,878142,1.093307853
1670460773,1378142,0.481791943
1670463701,1878142,1.391960144
1670470376,2570413,2.274703026
1670473077,3070413,0.205336228
1670475402,3570413,1.224538922
1670477979,4070413,2.38614583
1670481255,4570413,1.142215729
1670484986,5070413,2.254203081
1670490718,2570413,1.47646594
1670492519,3070413,1.419000983
1670494368,3570413,0.371794313
1670496176,4070413,4.808157444
1670497989,4570413,3.519097328
1670499787,5070413,1.594976664
1670501524,5570413,-0.081293151
1670503254,6070413,3.332316875
1670504992,6570413,2.499487162
1670506727,7070413,0.227219671
1670508472,7570413,1.265701652
1670510206,8070413,3.629216671
1670511951,8570413,1.141935825
1670513696,9070413,2.180669785
1670515441,9570413,1.52393496
1670517204,10070413,3.451915264
1670519031,10570413,0.114359915
1670520860,11070413,1.430901527
1670522700,11570413,2.282720089
1670524460,12070413,2.340976
1670526220,12570413,4.86124897
1670527971,13070413,3.4780128
1670529839,13570413,3.647569656
1670531735,14070413,2.640842199
1670561068,14960013,3.410640955
1670563292,15460013,1.657887578
1670565569,15960013,4.691000938
1670567604,16460013,3.342954159
1670569619,16960013,2.792659044
1670571630,17460013,0.358492613
1670573670,17960013,1.440512538
1670575709,18460013,3.619689941
1670577745,18960013,3.736178637
1670579768,19460013,7.002570152
1670581813,19960013,7.103657246
1670583842,20460013,2.613127232
1670585867,20960013,1.729809999
1670587932,21460013,3.668295383
1670590061,21960013,2.638843298
1670592200,22460013,2.540499687
1670594338,22960013,7.288190842
1670596385,23460013,3.522358894
1670598442,23960013,8.011770248
1670600489,24460013,4.80402565
1670602539,24960013,8.356505394
1670604594,25460013,6.425234318
1670606661,25960013,5.008691311
1670608722,26460013,5.285357475
1670610795,26960013,7.95445919
1670612865,27460013,3.504454851
1670655128,28344200,5.069820404
1670659488,28844200,9.431105614
1670663829,29344200,8.083754539
1670668140,29844200,10.46385479
1670672401,30344200,4.858039856
1670676119,30844200,8.307366371
1670679909,31344200,5.943170547
1670683711,31844200,3.026667118
1670687451,32344200,9.825919151
1670691280,32844200,10.4912138
1670695096,33344200,12.19617844
1670698876,33844200,12.5468998
1670702737,34344200,10.37006569
1670756080,35075426,9.501424789
1670757999,35575426,16.17923737
1670759887,36075426,18.98482704
1670761785,36575426,12.924366
1670763674,37075426,15.48032475
1670765546,37575426,6.170702457
1670767426,38075426,16.35094643
1670769319,38575426,15.43956757
1670771220,39075426,13.03374004
1670773133,39575426,17.06081963
1670775059,40075426,12.1735239
1670786254,41020026,19.89559746
1670788274,41520026,22.3803215
1670790335,42020026,15.33637428
1670792509,42520026,20.10248947
1670798221,43244660,21.5024662
1670800457,43744660,26.79643822
1670802335,44244660,16.97027779
1670804302,44744660,18.04465866
1670806276,45244660,19.0232296
1670808264,45744660,23.43443298
1670810198,46244660,26.10175705
1670812121,46744660,28.89680099
1670814080,47244660,32.64636993
1670816058,47744660,27.91345978
1670818172,48244660,28.89491653
1670820514,48744660,32.81562424
1670823206,49244660,32.55649948
1670826152,49744660,22.87490082
1670829449,50244660,30.53351021
1670833656,50744660,30.24076843
1670838231,51244660,33.22948074
1670842910,51744660,31.89068604
1670849590,43244660,18.99281311
1670851385,43744660,30.28591728
1670853242,44244660,25.64263153
1670855329,44744660,20.81647491
1670857597,45244660,28.04249001
1670860068,45744660,17.07161331
1670862672,46244660,25.00048065
1670865990,46744660,25.53485298
1670870805,47562440,26.40909576
1670872729,48062440,25.7608223
1670897054,48850787,32.527668
1670899093,49350787,31.83826637
1670901133,49850787,29.68601799
1670903168,50350787,30.42248535
1670905163,50850787,40.45729065
1670907410,51350787,30.63339806
1670909860,51850787,29.85317612
1670912095,52350787,30.85467339
1670914543,52850787,39.14039993
1670917367,53350787,37.40126038
1670920519,53850787,38.49316025
1670924326,54350787,39.60664368
1670928765,54850787,38.44547272
1670933509,55350787,35.38023376
1670940071,48850787,22.89274216
1670941978,49350787,33.18008041
1670943948,49850787,31.55126953
1670945929,50350787,33.21279144
1670947902,50850787,37.44683838
1670949819,51350787,39.43955994
1670958092,52253057,-0.7195279
1670959939,52753057,0.563083291
1670961789,53253057,-0.526922703
1670963630,53753057,-0.263154238
1670965419,54253057,-0.786498845
1670967203,54753057,0.499465138
1670968975,55253057,-0.383129239
1670970776,55753057,0.546103656
1670972697,56253057,-0.565593004
1670975263,56829705,-0.52739048
1670977106,57329705,-0.569233596
1670979066,57829705,-0.298820257
